a_idx,b_idx,a_base_id,b_base_id,R_transfer,R_random_layers,R_own_top_layers_upper_bound,C_AB,same_category,edit_size_diff,problem_length_diff,cluster_group
45,23,gsm8k_00564,gsm8k_00201,-0.037725978010501426,0.22962446757102098,-0.10779610517751297,0.7759157260268356,True,1,9,gsm8k_00201
8,35,gsm8k_00058,gsm8k_00417,-0.30226567197826054,-0.9663770912935596,0.32415136702083325,0.7418252802995103,False,2,17,gsm8k_00417
58,88,gsm8k_00750,gsm8k_01105,-0.20668042218747712,0.44629213993306294,-0.08689605893841666,-0.09163632379672433,False,2,1,gsm8k_01105
57,63,gsm8k_00734,gsm8k_00812,0.05970158129384162,0.014925366855582338,0.04477610056674702,-0.5764530058356251,False,5,38,gsm8k_00812
92,43,gsm8k_01140,gsm8k_00528,0.09485038565280036,-0.03838021139755674,-0.8413030407145536,0.291731300921708,True,2,9,gsm8k_00528
1,8,gsm8k_00008,gsm8k_00058,-0.004833983125752738,0.03266272343483903,0.03416297295978693,-0.7461274864190827,True,12,27,gsm8k_00058
33,41,gsm8k_00409,gsm8k_00475,0.2831580554902864,-0.011262922880880693,0.33811860399053933,0.1780004080198635,True,1,3,gsm8k_00475
72,16,gsm8k_00931,gsm8k_00168,3.7393330647098533,3.964976352121111,3.8350873143507296,0.6428753064747685,False,2,20,gsm8k_00168
69,90,gsm8k_00877,gsm8k_01128,-0.4985073282235679,-0.589540788431969,-0.01934300475383695,-0.8187590970903061,False,1,35,gsm8k_01128
36,11,gsm8k_00421,gsm8k_00122,0.0,0.0,0.0,0.35386107552571744,False,0,13,gsm8k_00122
64,13,gsm8k_00814,gsm8k_00153,-0.030543987168875505,0.09985920691370292,0.06944671777078908,-0.6365173901893459,False,8,20,gsm8k_00153
13,66,gsm8k_00153,gsm8k_00837,0.4182578809060292,3.188189550579525,3.2707089346833174,-0.1024676604619876,True,7,15,gsm8k_00837
20,48,gsm8k_00189,gsm8k_00582,-0.0011125146926551333,0.1760620536538025,0.15604146886082496,-0.36975932643467546,False,3,13,gsm8k_00582
45,89,gsm8k_00564,gsm8k_01114,0.03932902051617092,0.023339928714121744,0.044225512713109545,0.43055043738653626,False,2,15,gsm8k_01114
86,93,gsm8k_01070,gsm8k_01165,-0.08477128759944906,-2.389592221065897,0.05957242005295057,0.7637549701893268,False,0,0,gsm8k_01165
12,59,gsm8k_00125,gsm8k_00780,-0.49791610221631244,-0.7834442625267967,-0.638426843617722,0.4632923837689539,False,7,5,gsm8k_00780
76,44,gsm8k_00953,gsm8k_00557,-0.30517886782811826,-0.59915465084476,-0.08638534410970278,0.02218839277970878,False,4,50,gsm8k_00557
53,2,gsm8k_00680,gsm8k_00021,0.08669770541707748,-0.25565442746149786,0.3950420351756736,-0.21825572146715239,True,14,5,gsm8k_00021
90,70,gsm8k_01128,gsm8k_00895,0.017856566326971017,-0.053571231667606925,-0.017857588118100266,0.9697753165331733,True,3,17,gsm8k_00895
22,29,gsm8k_00198,gsm8k_00340,-0.9999995367451459,-0.9999971525695542,2.384175591621874e-06,-0.5069260930209337,False,2,38,gsm8k_00340
28,83,gsm8k_00275,gsm8k_01001,3.5368694198632804,0.05115167952609121,-1.9949155015175573,0.7716799175188797,True,1,9,gsm8k_01001
90,24,gsm8k_01128,gsm8k_00236,0.00010804543985885898,0.074300167571262,0.07460912232355914,-0.3862948618788134,False,5,31,gsm8k_00236
91,96,gsm8k_01137,gsm8k_01198,-299.8268732134028,-137.45979870431992,84.15715177608618,-0.506464947054399,False,20,1,gsm8k_01198
67,57,gsm8k_00848,gsm8k_00734,0.031472890184542204,0.020342069110522557,-0.06789963715856655,0.9174186495493373,True,8,12,gsm8k_00734
94,81,gsm8k_01170,gsm8k_00991,0.008004091844674936,-0.004042812727689597,0.024668809254680325,-0.08411013343957349,False,0,2,gsm8k_00991
91,10,gsm8k_01137,gsm8k_00102,-0.017792594652990518,0.04582197507538882,-0.009989008247155828,-0.21544784258713087,False,2,12,gsm8k_00102
0,30,gsm8k_00002,gsm8k_00376,0.6605537874378169,0.6191060704672344,0.3458874196063851,-0.32874270981137,False,1,4,gsm8k_00376
24,3,gsm8k_00236,gsm8k_00034,-0.03700180737673667,-0.033856253259563616,-0.03032803950996179,-0.36690640395760693,False,6,25,gsm8k_00034
11,22,gsm8k_00122,gsm8k_00198,0.023940805102258485,0.023940805102258485,0.02644269042730334,-0.46423281656744536,False,5,14,gsm8k_00198
52,54,gsm8k_00652,gsm8k_00681,1.1085553340092114,4.955475612405484,6.436079658533293,0.37337060512752135,False,9,2,gsm8k_00681
2,85,gsm8k_00021,gsm8k_01049,-0.8361092544513308,-1.2970703607333083,-1.0360186235792042,0.06327144360265735,True,10,6,gsm8k_01049
25,19,gsm8k_00242,gsm8k_00183,-0.5047169959326656,-0.3825390684571195,0.999937172639009,-0.7551391687786407,False,1,53,gsm8k_00183
82,6,gsm8k_00992,gsm8k_00046,0.2650523018233288,0.6392930257509323,0.7940194037521202,-0.14955780056646265,False,2,11,gsm8k_00046
38,94,gsm8k_00443,gsm8k_01170,-0.05111856719374448,-0.13635445398674903,-0.02149503625334198,0.40244698686672975,False,6,8,gsm8k_01170
31,82,gsm8k_00395,gsm8k_00992,-0.05724857076057094,-0.05724857076057094,-0.06693682773557366,0.5929314574122532,False,1,9,gsm8k_00992
84,47,gsm8k_01026,gsm8k_00577,-0.17196112682223794,-0.06349082818309912,-0.15029814148692933,0.515060568572244,False,2,18,gsm8k_00577
8,37,gsm8k_00058,gsm8k_00427,0.06592298643020786,0.13104760791059764,0.09021578151277093,-0.3993271280615545,True,11,1,gsm8k_00427
0,95,gsm8k_00002,gsm8k_01182,-0.13248626786192907,-0.1586051441396049,-0.10973167980357229,-0.08827849297430644,True,0,10,gsm8k_01182
83,28,gsm8k_01001,gsm8k_00275,-0.01737839316638583,0.014397643591569954,-0.02936071672911478,0.7716799175188797,True,1,9,gsm8k_00275
67,34,gsm8k_00848,gsm8k_00410,0.32425608272226647,0.6330137117036492,0.759591419831288,-0.901050917479654,False,5,23,gsm8k_00410
24,76,gsm8k_00236,gsm8k_00953,-0.6376597248521436,-0.6786053457400167,0.4241294347984466,-0.18360639618260113,False,4,28,gsm8k_00953
20,101,gsm8k_00189,gsm8k_01269,-0.23018608906721086,-0.272128240781681,-0.23018608906721086,0.9165313193844979,False,1,4,gsm8k_01269
6,14,gsm8k_00046,gsm8k_00157,-0.030455559678809436,0.014775173429198948,-0.04502669468226217,0.8045618282274285,False,1,12,gsm8k_00157
22,86,gsm8k_00198,gsm8k_01070,-0.19343845018539782,-0.146562833932496,0.04250762716275407,-0.38361384593193937,False,4,8,gsm8k_01070
25,72,gsm8k_00242,gsm8k_00931,0.5789751853467308,0.037922801293241305,0.7838018369055756,-0.49937303512103975,False,8,9,gsm8k_00931
45,4,gsm8k_00564,gsm8k_00038,0.9999867246676799,-1.2343043617116962,0.9999867246676799,0.30841949783874495,True,0,10,gsm8k_00038
